企业, 51719
税务, 49217
纳税, 49168
规定, 43426
所得, 35438
机关, 31873
或者, 26233
国家, 20763
应当, 20471
按照, 20256
其他, 20076
增值, 18620
有关, 18332
管理, 16387
税收, 15923
计算, 14504
主管, 14054
第二, 14040
销售, 13835
税法, 13390
人民, 13043
单位, 12934
资产, 12845
税款, 12715
生产, 12702
提供, 12542
取得, 12526
申报, 12444
货物, 12443
应纳, 12243
个人, 12171
所称, 12043
征收, 11818
收入, 11739
可以, 11389
发生, 11385
缴纳, 11023
经营, 10759
税额, 10486
办法, 10465
义务, 10188
财政, 9977
扣除, 9857
行政, 9823
适用, 9557
使用, 9549
以下, 9499
通知, 9487
资料, 9388
政策, 9291
机构, 9150
办理, 9102
不得, 9060
关于, 9012
包括, 9005
发票, 8895
第一, 8873
进行, 8867
条例, 8716
部门, 8668
根据, 8619
依照, 8618
三条, 8579
中华, 8553
以及, 8515
确定, 8258
执行, 8239
应税, 8196
扣缴, 8106
法规, 8077
劳务, 8066
费用, 7980
年度, 7943
登记, 7728
出口, 7704
二条, 7502
中国, 7242
税率, 7203
情况, 7188
居民, 7150
法律, 7054
计税, 7035
四条, 6968
范围, 6948
投资, 6914
相关, 6860
项目, 6812
1日, 6812
符合, 6716
及其, 6561
实施, 6553
申请, 6525
优惠, 6505
转让, 6443
实际, 6439
成本, 6409
业务, 6371
下列, 6326
免税, 6285
依法, 6251
十一, 6219
服务, 6217
八条, 6119
价格, 5966
支出, 5862
境内, 5844
消费, 5841
以上, 5817
固定, 5807
营业, 5755
问题, 5733
超过, 5684
具体, 5564
产品, 5509
条件, 5432
处理, 5315
支付, 5271
十二, 5254
方法, 5244
关联, 5202
信息, 5198
行为, 5170
方式, 5022
凭证, 4957
从事, 4888
会计, 4878
期限, 4868
人员, 4851
国税, 4808
批准, 4774
缴税, 4738
财产, 4727
公告, 4695
专用, 4670
工作, 4639
之日, 4601
交易, 4546
退税, 4528
证明, 4515
调整, 4471
技术, 4460
核定, 4419
车辆, 4405
部分, 4391
活动, 4373
免征, 4370
征税, 4364
核算, 4347
15, 4296
境外, 4243
报告, 4242
本条, 4238
十八, 4213
是否, 4126
地区, 4121
开发, 4099
需要, 4083
要求, 4082
同时, 4057
加工, 4053
日期, 4047
合同, 3980
事项, 3934
开具, 3920
享受, 3862
本法, 3856
用于, 3838
组织, 3793
地方, 3746
决定, 3739
制定, 3704
责任, 3691
政府, 3682
土地, 3675
财务, 3669
约定, 3662
1月, 3650
通过, 3598
合理, 3574
一般, 3570
安排, 3509
直接, 3479
报送, 3478
利息, 3471
定价, 3422
确认, 3414
简称, 3402
进口, 3365
日内, 3359
作为, 3339
金额, 3317
抵扣, 3280
准予, 3235
如下, 3231
计划, 3206
基础, 3198
标准, 3172
全部, 3119
文件, 3095
比例, 3085
运输, 3040
进项, 3013
30, 2999
情形, 2998
公开, 2992
设立, 2976
选择, 2944
地税, 2935
目的, 2907
金融, 2904
场所, 2898
试点, 2895
实行, 2868
认定, 2859
当期, 2858
无形, 2844
如何, 2844
委托, 2843
依据, 2833
分别, 2809
行业, 2808
发布, 2781
施行, 2773
内容, 2772
原则, 2765
利润, 2740
规范, 2735
材料, 2727
购买, 2726
工商, 2710
统一, 2710
手续, 2697
事业, 2636
公司, 2620
股权, 2605
工资, 2598
所属, 2549
关税, 2505
有效, 2499
外国, 2468
公式, 2464
制度, 2460
各省, 2454
征管, 2445
总额, 2443
通用, 2443
损失, 2428
复议, 2423
益性, 2416
报表, 2415
细则, 2414
时间, 2413
建设, 2397
预约, 2387
具有, 2377
权益, 2373
货币, 2353
代收, 2349
建筑, 2343
期间, 2333
保险, 2333
前款, 2323
定期, 2317
暂行, 2312
特殊, 2309
购置, 2266
海关, 2256
代缴, 2248
折旧, 2245
备案, 2231
协定, 2230
动产, 2227
已经, 2227
社会, 2223
财税, 2222
加强, 2196
低于, 2188
账簿, 2183
有权, 2167
工程, 2154
明细, 2149
车船, 2139
完税, 2137
代扣, 2125
主要, 2125
分配, 2124
购进, 2119
不能, 2109
全国, 2100
及时, 2095
系统, 2088
商品, 2062
检查, 2059
接受, 2050
资格, 2028
价值, 2022
银行, 2022
没有, 2019
卷烟, 2018
变更, 2012
资源, 1995
余额, 1992
协议, 1986
规模, 1985
个体, 1984
过程, 1979
所有, 1975
修改, 1971
5年, 1961
罚款, 1958
税基, 1932
审核, 1928
证件, 1925
负责, 1921
商户, 1899
租赁, 1893
薪金, 1890
持有, 1885
明确, 1873
类型, 1859
失效, 1858
股息, 1850
收益, 1841
收取, 1832
减除, 1829
修理, 1819
自行, 1802
资金, 1783
设备, 1783
之间, 1774
注册, 1759
签订, 1732
更新, 1731
计入, 1726
代表, 1710
措施, 1704
履行, 1675
说明, 1673
注明, 1669
间接, 1655
构成, 1651
独立, 1644
房屋, 1640
相应, 1635
备注, 1628
违法, 1626
价款, 1616
清算, 1603
发展, 1591
之一, 1583
经济, 1581
来源, 1578
捐赠, 1573
自用, 1570
职工, 1569
生效, 1558
5月, 1556
废止, 1546
书面, 1541
关系, 1541
以后, 1529
不同, 1527
年限, 1520
代理, 1518
预缴, 1516
对外, 1507
结算, 1487
花税, 1485
作出, 1483
录入, 1476
红利, 1476
各种, 1475
违反, 1464
形式, 1462
予以, 1461
提出, 1453
实现, 1453
程序, 1449
款项, 1442
关键, 1434
物资, 1432
合法, 1431
类别, 1431
出具, 1431
改征, 1421
准备, 1401
填写, 1399
调查, 1393
担保, 1392
会议, 1390
原因, 1384
重组, 1383
级别, 1380
研究, 1376
视同, 1375
组成, 1375
汇总, 1370
印发, 1366
非货, 1361
2年, 1356
减免, 1355
抵免, 1353
生物, 1347
教育, 1345
一个, 1344
国际, 1341
普通, 1340
往来, 1335
摊销, 1334
目录, 1325
性质, 1321
自产, 1320
房产, 1319
特别, 1319
一次, 1318
当年, 1318
控制, 1314
数量, 1312
清缴, 1309
不征, 1303
利用, 1302
算清, 1302
不符, 1298
修配, 1295
汇算, 1295
处罚, 1292
债权, 1291
显示, 1286
用途, 1278
分摊, 1277
评估, 1273
无法, 1269
机动, 1266
市场, 1264
数据, 1257
犯罪, 1252
电子, 1251
承包, 1248
代开, 1242
重点, 1232
收到, 1229
分析, 1221
税费, 1219
出租, 1213
追究, 1212
条款, 1211
分期, 1210
纳入, 1204
贷款, 1202
设置, 1196
各地, 1194
法定, 1192
买方, 1189
刑事, 1183
基金, 1172
报关, 1166
集团, 1157
地点, 1155
同一, 1152
合并, 1149
反映, 1149
存款, 1142
继续, 1141
存货, 1140
不再, 1138
税目, 1132
记账, 1131
提交, 1122
退还, 1119
注销, 1109
监督, 1102
达到, 1097
占用, 1090
设计, 1086
定额, 1085
住房, 1082
减税, 1079
团体, 1076
存在, 1074
对象, 1073
逾期, 1072
全额, 1071
理由, 1070
商业, 1070
设施, 1065
保护, 1061
停止, 1058
公益, 1051
耕地, 1051
加计, 1050
法人, 1049
一致, 1049
租金, 1040
待遇, 1040
税前, 1036
常务, 1033
数额, 1028
基本, 1024
改革, 1023
印制, 1022
追缴, 1020
作业, 1019
重新, 1011
另行, 1007
最低, 1006
居住, 1005
能够, 1004
承担, 1003
以前, 1000
据实, 998
税控, 996
处分, 995
软件, 994
划分, 993
营利, 991
公允, 991
现金, 990
减征, 986
报期, 982
债务, 981
扣税, 975
残疾, 974
准确, 971
名称, 970
受理, 966
负担, 965
股份, 965
售价, 963
一年, 961
变化, 961
补充, 959
缴款, 958
资本, 956
6月, 945
同期, 944
人为, 944
全面, 941
月份, 940
环境, 939
不足, 937
哪些, 933
就其, 931
研发, 931
若干, 930
环节, 929
形成, 928
强制, 928
综合, 928
审批, 926
正常, 923
进货, 921
原料, 920
融资, 920
身份, 918
公共, 915
明显, 914
功能, 912
方面, 910
平均, 909
收款, 907
指定, 905
计征, 903
新疆, 903
股票, 902
建立, 898
承租, 887
完成, 885
开展, 878
支持, 876
取消, 876
连续, 874
记录, 871
亏损, 868
共同, 866
税金, 857
省级, 854
2号, 851
生活, 851
上市, 849
少缴, 843
贴花, 837
安装, 837
兵团, 836
福利, 835
尚未, 835
产权, 831
改变, 828
限额, 826
应缴, 826
下同, 826
擅自, 824
区域, 821
限制, 820
安置, 817
补缴, 816
之前, 816
风险, 815
现行, 805
季度, 805
落实, 805
产业, 805
实质, 804
结构, 803
简易, 802
发放, 802
交通, 799
工业, 799
折合, 796
当事, 795
分支, 792
联系, 790
案件, 789
契税, 789
延期, 788
付款, 785
到期, 783
包装, 783
保管, 782
促进, 780
鼓励, 779
城市, 778
当天, 778
不缴, 777
转移, 776
送达, 771
中心, 771
日前, 770
三款, 770
免抵, 769
双方, 767
开票, 765
收购, 763
告知, 760
终止, 759
住所, 758
交换, 755
拒绝, 753
检举, 752
开采, 751
副本, 750
不含, 748
影响, 748
权利, 746
收回, 745
造成, 742
国内, 738
7月, 738
节能, 736
工具, 733
不需, 732
参与, 729
补贴, 725
文化, 724
3号, 724
受托, 723
执照, 722
各方, 718
农业, 718
保障, 715
规格, 714
保全, 713
城镇, 710
借款, 708
结转, 708
证据, 708
证书, 707
报酬, 706
国库, 706
外贸, 704
长期, 703
信用, 703
伪造, 702
受让, 702
协商, 700
意见, 698
填报, 697
无偿, 697
宣传, 692
临时, 691
扶持, 690
当月, 688
成果, 688
买价, 686
股东, 684
利率, 680
收费, 680
过渡, 680
进料, 678
正当, 677
外购, 677
一方, 673
汽车, 673
骗取, 672
剩余, 670
保税, 668
解缴, 667
试行, 665
清单, 664
我国, 662
利益, 660
完善, 655
领取, 655
船舶, 653
应付, 652
发行, 651
解释, 650
结果, 647
投入, 647
奖励, 646
减半, 643
欠缴, 643
退（, 642
加收, 642
医疗, 642
源泉, 642
涉税, 642
维护, 640
债券, 638
附加, 637
付给, 635
扣押, 634
装置, 633
许可, 632
县级, 632
铁路, 630
批发, 630
合成, 629
应退, 628
证券, 626
延长, 625
贯彻, 624
损毁, 623
外商, 623
认证, 623
修订, 623
因素, 621
就业, 621
赔偿, 621
专项, 617
中间, 617
拥有, 616
原值, 614
人数, 611
类似, 611
提取, 608
托方, 607
合伙, 605
内部, 604
保证, 603
天然, 602
账户, 601
分为, 600
授权, 597
差额, 597
应征, 596
号码, 595
虚假, 594
局长, 592
入库, 591
3%, 589
劳动, 587
人发, 587
料件, 585
供应, 585
购销, 585
完整, 584
减少, 583
国有, 583
建造, 579
预算, 579
核发, 576
重大, 575
各类, 574
真实, 570
提高, 564
结清, 563
价外, 562
净值, 562
员工, 561
获得, 560
统称, 558
设有, 554
不应, 554
零售, 554
补税, 554
单独, 553
安全, 549
增加, 546
相互, 543
他人, 542
困难, 541
物品, 541
租入, 541
核销, 539
后续, 538
科技, 537
特定, 537
税票, 533
种类, 531
查封, 525
采集, 525
应收, 524
内销, 523
减按, 522
按期, 521
质量, 520
培训, 519
监管, 518
白酒, 518
石油, 517
航空, 516
办税, 514
归属, 513
防伪, 512
领购, 511
核准, 508
不予, 507
正式, 507
改建, 506
外汇, 505
广告, 505
附送, 504
有限, 502
机器, 502
恢复, 502
废渣, 501
本地, 498
按月, 497
邮政, 496
合作, 493
职务, 492
补征, 491
电力, 489
法院, 489
保存, 488
撤销, 487
预计, 487
满足, 486
用地, 484
成品, 483
保密, 482
科学, 480
卫生, 479
奖金, 478
原件, 477
经费, 474
职责, 472
用品, 471
五年, 470
含税, 467
面积, 466
邮寄, 465
稽查, 465
重复, 464
没收, 464
跨境, 464
抵减, 463
小于, 458
家属, 458
民族, 455
兼营, 453
视为, 451
规则, 451
拒不, 448
代码, 447
机械, 446
索取, 445
税后, 444
补偿, 444
种植, 444
离岸, 443
联合, 441
开征, 439
状况, 439
配套, 439
自主, 438
最高, 437
两个, 437
学校, 436
香港, 434
审查, 434
公积, 433
式样, 433
贸易, 430
未办, 430
分类, 429
扣减, 429
按季, 428
买卖, 428
销货, 425
每年, 425
拍卖, 424
留存, 422
节水, 422
协助, 420
中介, 419
加速, 418
持股, 418
行驶, 417
职权, 414
储蓄, 414
核实, 413
查处, 411
列支, 411
比对, 410
禁止, 408
已缴, 407
激励, 407
分月, 405
任职, 404
不服, 403
牌号, 402
大于, 402
经常, 400
咨询, 399
抵押, 397
创业, 397
出售, 396
足额, 395
计提, 394
查询, 393
能源, 392
双边, 389
编制, 389
小型, 388
有形, 388
领导, 387
销毁, 386
代征, 386
权限, 385
递延, 385
飞机, 381
权属, 380
计量, 378
累计, 377
汇率, 377
偏低, 376
税负, 376
受雇, 375
董事, 375
办公, 375
折算, 375
应予, 374
负债, 372
行使, 371
用车, 370
事务, 370
自己, 370
分立, 369
完工, 369
新增, 369
农村, 368
停征, 368
丢失, 366
三方, 366
国外, 366
操作, 365
体育, 365
渔业, 365
退回, 365
自动, 364
批复, 364
独资, 361
流程, 360
不作, 360
出资, 360
偷税, 359
业主, 358
赞助, 356
灾害, 356
滥用, 356
人身, 355
处置, 354
账号, 353
毛利, 353
预定, 350
缩短, 349
养老, 348
整体, 348
集体, 348
司法, 348
抵税, 348
烟叶, 347
入股, 346
成交, 345
凭据, 345
备查, 344
隐匿, 344
专业, 343
长度, 342
公路, 342
票据, 341
抵缴, 341
文书, 341
发出, 340
法制, 340
减值, 339
移送, 339
弥补, 338
一级, 338
单据, 338
税源, 338
外出, 338
稿酬, 335
致使, 335
植物, 335
期末, 335
制造, 334
从业, 333
煤炭, 333
幅度, 332
变动, 332
正本, 332
集资, 332
解除, 332
基准, 332
公民, 330
不满, 329
接收, 329
已征, 326
清税, 325
机场, 324
控股, 324
损益, 322
监控, 321
故意, 320
新办, 320
单边, 317
中央, 317
名义, 317
打印, 317
网络, 316
派遣, 315
报税, 314
吨位, 312
最终, 312
换算, 311
粮食, 310
开始, 310
抵触, 310
非法, 309
虚开, 309
变造, 309
具备, 308
调拨, 308
配合, 307
津贴, 307
重要, 306
逃避, 305
军队, 305
精矿, 304
国民, 304
专门, 303
外企, 303
差异, 302
缴销, 301
暂免, 300
查账, 299
遭受, 299
单证, 299
时限, 299
娱乐, 299
本年, 298
自营, 298
遵循, 298
供电, 298
业户, 297
机制, 296
国债, 296
辅助, 295
商标, 295
推行, 295
归集, 294
诉讼, 294
加油, 293
推广, 292
动力, 292
集中, 291
维持, 291
期权, 291
新建, 290
在建, 290
财物, 289
主体, 289
放弃, 289
纸质, 289
偶然, 288
实体, 288
图书, 287
历史, 286
旅游, 285
便于, 284
顺序, 283
合格, 283
档案, 282
专利, 282
收汇, 282
微利, 281
级次, 281
二手, 280
转借, 280
有偿, 279
填开, 278
成员, 277
提前, 277
中小, 277
养殖, 276
混合, 276
注释, 276
运行, 275
升级, 275
离境, 275
日后, 274
判定, 273
制品, 273
会谈, 272
轮胎, 272
赠与, 272
首饰, 271
完全, 271
购货, 271
必需, 271
日常, 270
自有, 270
装配, 269
公平, 268
名单, 267
实物, 266
原矿, 265
指导, 264
受赠, 264
公历, 264
执法, 262
规划, 261
质押, 260
驻华, 259
装备, 259
方案, 258
核查, 258
港口, 256
避免, 256
岗位, 255
以内, 255
请求, 255
预备, 254
上海, 254
旅客, 254
意向, 254
启用, 253
商誉, 252
扶养, 251
受灾, 251
金银, 250
供货, 250
扩大, 249
海洋, 249
改制, 248
中标, 248
澳门, 247
移交, 247
运用, 247
双重, 247
涉嫌, 247
起诉, 247
雇主, 247
创新, 246
选用, 246
附表, 246
正确, 245
未收, 245
出境, 245
柴油, 244
核对, 244
识别, 243
常设, 243
账面, 241
争议, 241
加权, 241
检验, 240
烟草, 240
电信, 240
鉴定, 240
现代, 240
改造, 239
台账, 239
后退, 238
传递, 238
先征, 238
部队, 237
分享, 237
行权, 237
赔款, 236
变卖, 236
偿还, 236
受控, 235
干部, 235
红字, 235
判断, 234
仓储, 233
抗税, 232
盈利, 232
加成, 232
联次, 231
高于, 231
评价, 231
月度, 230
电话, 229
两种, 229
盖章, 229
错误, 228
发包, 227
小微, 226
状态, 226
指标, 226
欠税, 225
出让, 225
竣工, 225
审议, 224
进境, 224
品种, 224
签字, 223
残值, 222
外交, 221
配比, 221
结束, 221
毁损, 221
刁难, 220
草案, 220
反馈, 219
水泥, 218
影视, 217
报废, 216
预征, 216
收据, 216
稽核, 216
文档, 216
矿产, 215
水电, 215
执业, 214
偿债, 214
文字, 214
三轮, 213
提请, 213
获取, 212
坏账, 212
涉农, 212
化工, 211
商务, 211
税种, 211
追征, 210
码头, 210
印章, 210
查验, 209
4%, 209
通报, 209
优先, 208
学生, 208
征点, 208
总和, 208
体系, 208
作价, 207
高级, 206
避税, 206
流通, 205
资质, 205
传输, 205
规程, 204
中文, 204
补办, 203
前提, 203
被盗, 203
汇兑, 202
宝石, 202
薯类, 202
餐饮, 201
复制, 201
口岸, 201
外籍, 201
补助, 200
水利, 200
共享, 200
多少, 200
获利, 199
列举, 199
食品, 199
作废, 198
拨款, 198
维修, 198
勘探, 197
住宿, 197
库存, 197
建房, 197
援助, 197
3万, 196
行程, 196
暂停, 196
累进, 196
收缴, 195
冻结, 195
民用, 195
前期, 195
大修, 195
黄金, 194
秘密, 194
此前, 194
免退, 194
编码, 194
减额, 194
领事, 193
作用, 193
骗税, 193
发电, 193
分割, 193
首次, 192
运营, 192
预期, 192
失业, 192
合资, 192
审理, 191
存放, 190
保留, 189
拆迁, 189
涉外, 189
试验, 189
平台, 189
违约, 188
不实, 188
牌照, 188
入境, 188
货车, 188
辅导, 188
阻挠, 187
职业, 186
上缴, 186
重建, 186
机电, 186
减去, 185
客户, 185
未达, 184
个别, 184
金及, 184
分国, 184
先进, 184
经销, 183
台湾, 183
农用, 182
节约, 182
建账, 182
两处, 181
游艇, 181
账目, 181
汽油, 181
发售, 181
载客, 181
性能, 180
使馆, 180
表一, 180
物流, 180
折耗, 180
沼气, 180
酒精, 180
地震, 179
口径, 179
经纪, 179
内地, 178
异议, 178
仓库, 178
免予, 178
施工, 178
林木, 178
准则, 178
采购, 178
轮船, 177
受益, 177
转业, 177
仪器, 176
阶段, 176
监测, 176
监制, 176
住宅, 176
账务, 176
保费, 175
征免, 175
全年, 175
体制, 175
权证, 175
按次, 174
周期, 174
填制, 174
退役, 174
鉴证, 173
借贷, 173
招待, 172
停业, 172
入账, 172
举报, 172
之外, 172
自开, 172
人工, 172
购物, 172
现有, 171
模式, 170
吊销, 170
留抵, 169
便利, 169
豁免, 169
预收, 169
书据, 168
退休, 168
食用, 168
中止, 168
啤酒, 168
折让, 168
损害, 167
污水, 167
多缴, 167
宗旨, 167
分行, 167
西部, 166
新设, 166
图册, 166
询问, 166
农机, 165
回避, 165
在华, 165
北京, 165
流动, 165
规章, 165
连带, 164
责成, 164
应用, 164
天数, 164
外包, 163
本位, 163
可能, 163
手册, 162
科研, 160
还本, 160
雇员, 160
简化, 160
原始, 160
流量, 159
油气, 159
已纳, 159
现场, 159
道路, 159
承受, 158
层报, 158
通行, 158
单一, 157
超额, 157
同业, 157
进度, 157
旧房, 157
墙体, 156
人力, 156
押金, 156
失控, 156
定义, 155
售后, 155
编号, 155
消失, 155
调解, 154
收支, 154
买入, 154
均匀, 154
外县, 154
家庭, 154
成套, 153
征用, 153
捕捞, 153
原油, 153
照相, 153
过户, 152
验证, 151
任务, 151
供车, 151
地价, 151
测试, 151
开业, 149
罚金, 149
转制, 149
财会, 149
药品, 149
营运, 149
不当, 149
账款, 149
修缮, 148
邮电, 148
新型, 148
内购, 148
救济, 147
远洋, 147
未来, 147
转为, 147
黄酒, 146
通信, 146
9万, 146
工厂, 146
关闭, 146
商用, 146
挂车, 146
生育, 146
承运, 145
士兵, 145
签发, 145
清偿, 145
灾后, 145
分次, 145
饲料, 145
盈余, 144
代垫, 144
监察, 144
报验, 144
防止, 143
迹象, 143
装饰, 142
违纪, 142
社区, 142
通讯, 142
声明, 142
派出, 142
样品, 141
减轻, 141
补正, 141
海上, 141
工伤, 141
扫描, 141
改动, 141
或有, 140
界定, 140
退货, 140
破产, 140
牧业, 140
初始, 139
装卸, 139
武装, 139
大型, 138
本期, 138
录像, 137
知道, 137
录音, 137
代销, 137
授予, 136
总分, 136
控告, 136
农民, 136
教学, 136
强化, 136
在职, 135
等级, 135
佣金, 135
电文, 135
直属, 134
转账, 134
情报, 133
效力, 133
科目, 132
保健, 132
上传, 132
工会, 132
地下, 132
票面, 132
金税, 131
跟踪, 131
违规, 131
预提, 131
折扣, 131
表二, 131
跨省, 130
古旧, 130
九届, 130
西藏, 130
介绍, 130
不列, 129
动物, 129
货款, 128
摊派, 128
客运, 128
计价, 128
D级, 127
标识, 127
钻石, 127
预付, 127
盘亏, 127
随军, 127
全员, 127
返还, 127
信贷, 126
举办, 126
存根, 125
牌价, 125
一组, 125
出版, 125
延缓, 125
条文, 124
迁移, 124
追溯, 124
警察, 124
截止, 123
衔接, 122
报刊, 122
客观, 122
或非, 122
评定, 120
拆借, 120
陈述, 120
废弃, 120
特点, 119
饲养, 119
听证, 119
家禽, 119
不分, 119
合一, 119
